Hisse Kodu	Şirket Adı	Sektör(ler)
FONET	Fonet Bilgi Teknolojileri A.Ş.	Bilişim ve Yazılım
ISKPL	Işık Plastik Sanayi ve Dış Ticaret Pazarlama A.Ş.	Kimya ve Plastik
KSTUR	Kuştur Kuşadası Turizm Endüstri A.Ş.	Turizm
TRALT	Türk Altın İşletmeleri A.Ş.	Madencilik ve Taş Ocakçılığı
CRFSA	Carrefoursa Carrefour Sabancı Ticaret Merkezi A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
EMNIS	Eminiş Ambalaj Sanayi ve Ticaret A.Ş.	Ambalaj
TRMET	TR Anadolu Metal Madencilik İşletmeleri A.Ş.	Madencilik ve Taş Ocakçılığı
MRGYO	Martı Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
KTSKR	Kütahya Şeker Fabrikası A.Ş	Gıda ve İçecek
TRENJ	TR Doğal Enerji Kaynakları Araştırma ve Üretim A.Ş.	Madencilik ve Taş Ocakçılığı
TURSG	Türkiye Sigorta A.Ş.	Sigorta
MIPAZ	Lydia Holding A.Ş.	—
KERVT	Besler Gıda ve Kimya Sanayi ve Ticaret A.Ş.	—
QNBFB	QNB Finansbank A.Ş.	—
IDEAS	Skyalp Finansal Teknolojiler ve Danışmanlık A.Ş.	—
ITTFH	İttifak Holding A.Ş.	—
TETMT	Tetamat Gıda Yatırımları A.Ş.	—
KARYE	Kartal Yenilenebilir Enerji Üretim A.Ş.	—
METUR	Blume Metal Kimya A.Ş.	Turizm
DOBUR	Doğan Burda Dergi Yayıncılık ve Pazarlama A.Ş.	—
QNBFL	QNB Finansal Kiralama A.Ş.	Finansal Kiralama
DAGHL	Tera Finansal Yatırımlar Holding A.Ş.	Tekstil, Giyim ve Deri, Holding
ALMAD	Altınyağ Madencilik ve Enerji Yatırımları Sanayi ve Ticaret A.Ş.	—
PEHOL	Tera Yatırım Teknoloji Holding A.Ş.	Gayrimenkul
EFORC	Efor Çay Sanayi ve Ticaret A.Ş.	—
SELGD	Selçuk Gıda Endüstri İhracat İthalat A.Ş.	Gıda ve İçecek
ISFIN	İş Finansal Kiralama A.Ş.	Finansal Kiralama
TRCAS	Turcas Holding A.Ş.	Kimya ve Plastik
CEMZY	Cem Zeytin A.Ş.	Tarım, Hayvancılık, Balıkçılık, Gıda ve İçecek
MZHLD	Mazhar Zorlu Holding A.Ş.	Holding
GLYHO	Global Yatırım Holding A.Ş.	Holding
NTHOL	Net Holding A.Ş.	Holding
IHLAS	İhlas Holding A.Ş.	Holding
AVOD	A.V.O.D. Kurutulmuş Gıda ve Tarım Ürünleri A.Ş.	Gıda ve İçecek
